Token                          Lexema              
PALABRA_VALIDA_ESPANOL         pocos               
ERROR_ORTOGRAFICO              segundos            
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         la                  
ERROR_ORTOGRAFICO              programasion        
PALABRA_VALIDA_ESPANOL         en                  
ERROR_ORTOGRAFICO              python              
PALABRA_VALIDA_ESPANOL         es                  
DIGITO                         1                   
PALABRA_VALIDA_ESPANOL         de                  
PALABRA_VALIDA_ESPANOL         las                 
ERROR_ORTOGRAFICO              mas                 
ERROR_ORTOGRAFICO              populares           
PALABRA_VALIDA_ESPANOL         debido              
PALABRA_VALIDA_ESPANOL         a                   
PALABRA_VALIDA_ESPANOL         su                  
ERROR_ORTOGRAFICO              sintaxis            
ERROR_ORTOGRAFICO              clara               
PALABRA_VALIDA_ESPANOL         y                   
ERROR_ORTOGRAFICO              librerias           
ERROR_ORTOGRAFICO              poderosas           
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         los                 
ERROR_ORTOGRAFICO              científicos         
ERROR_ORTOGRAFICO              descubrieron        
PALABRA_VALIDA_ESPANOL         que                 
PALABRA_VALIDA_ESPANOL         la                  
ERROR_ORTOGRAFICO              inteligencia        
ERROR_ORTOGRAFICO              artifisial          
PALABRA_VALIDA_ESPANOL         puede               
ERROR_ORTOGRAFICO              ayudar              
PALABRA_VALIDA_ESPANOL         en                  
PALABRA_VALIDA_ESPANOL         muchas              
ERROR_ORTOGRAFICO              areas               
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         desde               
PALABRA_VALIDA_ESPANOL         el                  
ERROR_ORTOGRAFICO              diagnóstico         
ERROR_ORTOGRAFICO              medico              
PALABRA_VALIDA_ESPANOL         hasta               
PALABRA_VALIDA_ESPANOL         el                  
PALABRA_VALIDA_ESPANOL         análisis            
PALABRA_VALIDA_ESPANOL         de                  
PALABRA_VALIDA_ESPANOL         datos               
ERROR_ORTOGRAFICO              masivos             
PUNTUACION                     .                   
PUNTUACION                     ¿                   
ERROR_ORTOGRAFICO              sera                
PALABRA_VALIDA_ESPANOL         posible             
PALABRA_VALIDA_ESPANOL         que                 
PALABRA_VALIDA_ESPANOL         las                 
ERROR_ORTOGRAFICO              maquinas            
ERROR_ORTOGRAFICO              superen             
PALABRA_VALIDA_ESPANOL         la                  
ERROR_ORTOGRAFICO              inteligencia        
PALABRA_VALIDA_ESPANOL         humana              
PUNTUACION                     ?                   
PALABRA_VALIDA_ESPANOL         el                  
PALABRA_VALIDA_ESPANOL         cambio              
ERROR_ORTOGRAFICO              climático           
PALABRA_VALIDA_ESPANOL         es                  
PALABRA_VALIDA_ESPANOL         un                  
PALABRA_VALIDA_ESPANOL         problema            
ERROR_ORTOGRAFICO              serio               
PALABRA_VALIDA_ESPANOL         que                 
ERROR_ORTOGRAFICO              afecta              
PALABRA_VALIDA_ESPANOL         a                   
DIGITO                         195                 
ERROR_ORTOGRAFICO              paises              
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         las                 
ERROR_ORTOGRAFICO              temperaturas        
PALABRA_VALIDA_ESPANOL         han                 
ERROR_ORTOGRAFICO              aumentado           
DIGITO                         1                   
PUNTUACION                     .                   
DIGITO                         5                   
ERROR_ORTOGRAFICO              grados              
PALABRA_VALIDA_ESPANOL         en                  
PALABRA_VALIDA_ESPANOL         los                 
ERROR_ORTOGRAFICO              ultimos             
DIGITO                         100                 
PALABRA_VALIDA_ESPANOL         años                
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         es                  
ERROR_ORTOGRAFICO              nesesario           
PALABRA_VALIDA_ESPANOL         tomar               
ERROR_ORTOGRAFICO              aksiones            
ERROR_ORTOGRAFICO              inmediatas          
PALABRA_VALIDA_ESPANOL         para                
ERROR_ORTOGRAFICO              proteger            
PALABRA_VALIDA_ESPANOL         nuestro             
ERROR_ORTOGRAFICO              planeta             
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         la                  
ERROR_ORTOGRAFICO              literatura          
PALABRA_VALIDA_ESPANOL         española            
PALABRA_VALIDA_ESPANOL         tiene               
PALABRA_VALIDA_ESPANOL         grandes             
ERROR_ORTOGRAFICO              autores             
PALABRA_VALIDA_ESPANOL         como                
ERROR_ORTOGRAFICO              cervantes           
PALABRA_VALIDA_ESPANOL         y                   
ERROR_ORTOGRAFICO              garcia              
ERROR_ORTOGRAFICO              lorca               
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         don                 
ERROR_ORTOGRAFICO              quijote             
PALABRA_VALIDA_ESPANOL         de                  
PALABRA_VALIDA_ESPANOL         la                  
ERROR_ORTOGRAFICO              mancha              
PALABRA_VALIDA_ESPANOL         es                  
ERROR_ORTOGRAFICO              considerada         
PALABRA_VALIDA_ESPANOL         una                 
PALABRA_VALIDA_ESPANOL         de                  
PALABRA_VALIDA_ESPANOL         las                 
PALABRA_VALIDA_ESPANOL         mejores             
ERROR_ORTOGRAFICO              novelas             
PALABRA_VALIDA_ESPANOL         de                  
PALABRA_VALIDA_ESPANOL         todos               
PALABRA_VALIDA_ESPANOL         los                 
PALABRA_VALIDA_ESPANOL         tiempos             
PUNTUACION                     .                   
PUNTUACION                     ¿                   
PALABRA_VALIDA_ESPANOL         has                 
ERROR_ORTOGRAFICO              leido               
PALABRA_VALIDA_ESPANOL         esta                
PALABRA_VALIDA_ESPANOL         obra                
ERROR_ORTOGRAFICO              maestra             
PUNTUACION                     ?                   
PALABRA_VALIDA_ESPANOL         en                  
ERROR_ORTOGRAFICO              resumen             
PUNTUACION                     ,                   
PALABRA_VALIDA_ESPANOL         este                
PALABRA_VALIDA_ESPANOL         texto               
ERROR_ORTOGRAFICO              contiene            
ERROR_ORTOGRAFICO              multiples           
PALABRA_VALIDA_ESPANOL         palabras            
PALABRA_VALIDA_ESPANOL         mal                 
ERROR_ORTOGRAFICO              escritas            
PUNTUACION                     ,                   
ERROR_ORTOGRAFICO              números             
PALABRA_VALIDA_ESPANOL         y                   
ERROR_ORTOGRAFICO              signos              
PALABRA_VALIDA_ESPANOL         de                  
ERROR_ORTOGRAFICO              puntuasion          
PALABRA_VALIDA_ESPANOL         para                
ERROR_ORTOGRAFICO              probar              
PALABRA_VALIDA_ESPANOL         el                  
ERROR_ORTOGRAFICO              analizador          
ERROR_ORTOGRAFICO              lexico              
PUNTUACION                     .                   
PALABRA_VALIDA_ESPANOL         el                  
PALABRA_VALIDA_ESPANOL         programa            
PALABRA_VALIDA_ESPANOL         debe                
ERROR_ORTOGRAFICO              clasificar          
ERROR_ORTOGRAFICO              korectamente        
PALABRA_VALIDA_ESPANOL         cada                
ERROR_ORTOGRAFICO              token               
PALABRA_VALIDA_ESPANOL         según               
PALABRA_VALIDA_ESPANOL         las                 
ERROR_ORTOGRAFICO              reglas              
ERROR_ORTOGRAFICO              definidas           
PUNTUACION                     .                   
ERROR_ORTOGRAFICO              damn                
PALABRA_VALIDA_ESPANOL         esto                
PALABRA_VALIDA_ESPANOL         es                  
PALABRA_VALIDA_ESPANOL         algo                
PALABRA_VALIDA_ESPANOL         que                 
ERROR_ORTOGRAFICO              somer               
ERROR_ORTOGRAFICO              añadió              
PALABRA_VALIDA_ESPANOL         porque              
PALABRA_VALIDA_ESPANOL         sí                  
ERROR_ORTOGRAFICO              xd                  
ERROR_ORTOGRAFICO              xd                  
ERROR_ORTOGRAFICO              xd                  
PUNTUACION                     .                   
